Feature,Importance
Return_1d_lag3,139
Return_1d,121
MFI_14_lag3,116
MFI_14,115
Return_1d_lag1,112
BB_Pct_lag3,106
CMF,106
Close_Open_Range,102
BB_Pct,94
Skew_20d,87
Vol_20d_lag5,85
Return_1d_lag5,81
ADX,79
BB_Pct_lag2,79
Return_20d,77
High_Low_Range,76
MACD_lag5,73
Stoch_K,71
MFI_14_lag1,69
Return_1d_lag2,69
Return_5d,68
MFI_14_lag2,66
MACD_Hist,64
RSI_14_lag2,62
ATR_14,61
RSI_14_lag3,60
Stoch_D,58
BB_Width,57
ATR_14_lag5,57
BB_Pct_lag5,56
MACD_lag3,56
DI_Plus,55
ROC_10,54
MFI_14_lag5,49
OBV,48
Log_Return,48
DI_Minus,48
RSI_14_lag5,47
RSI_14_lag1,46
Vol_60d,46
ATR_14_lag2,45
BB_Pct_lag1,45
Vol_20d_lag3,44
Vol_20d_lag1,43
TSI,34
ADX_lag2,32
ADX_lag1,31
ATR_14_lag1,30
Price_SMA50_Ratio,30
ATR_14_lag3,29
Price_SMA20_Ratio,29
Vol_20d,26
ADX_lag5,26
MACD_Signal,25
SMA_200,23
RSI_14,23
ADX_lag3,23
MACD_lag2,23
Vol_20d_lag2,20
BB_Upper,18
SMA_50,14
BB_Lower,13
MACD,13
MACD_lag1,13
Williams_R,10
KC_Lower,8
Return_10d,7
EMA_26,6
EMA_12,4
SMA_20,2
KC_Upper,2
