Feature,Importance
MFI_14,0.01830723
MACD_lag1,0.017733803
KC_Lower,0.017127253
BB_Pct_lag1,0.017064087
RSI_14,0.017004892
Vol_20d_lag3,0.016427647
MACD_lag2,0.016186211
ADX_lag1,0.015831523
MFI_14_lag2,0.015788227
Return_5d,0.015762404
MFI_14_lag3,0.015721945
Price_SMA20_Ratio,0.015705975
Price_SMA50_Ratio,0.015693707
MACD_Hist,0.0156857
EMA_12,0.015417767
RSI_14_lag2,0.015268219
Stoch_D,0.015259013
BB_Lower,0.015231797
BB_Upper,0.015191094
OBV,0.015171251
TSI,0.015115241
Return_1d,0.014759563
ADX_lag3,0.014756778
Return_1d_lag1,0.014615758
KC_Upper,0.014422126
DI_Plus,0.014402923
Vol_20d_lag5,0.014356225
BB_Pct,0.01435382
MACD_lag5,0.014341828
ATR_14_lag3,0.014285837
ADX_lag5,0.0142177
BB_Pct_lag3,0.014089826
Stoch_K,0.0140759405
BB_Width,0.014056226
ADX_lag2,0.01400489
Vol_60d,0.0139848525
MFI_14_lag1,0.013976071
MACD_lag3,0.013869092
Close_Open_Range,0.013786982
ATR_14_lag1,0.013786039
DI_Minus,0.013749393
EMA_26,0.01368244
RSI_14_lag3,0.013680662
High_Low_Range,0.013679636
Williams_R,0.013619903
RSI_14_lag5,0.013567206
SMA_50,0.013523481
Return_1d_lag3,0.013361147
ATR_14_lag5,0.013325401
RSI_14_lag1,0.013272066
Vol_20d_lag2,0.013253615
Return_1d_lag2,0.013232732
Return_20d,0.013159279
BB_Pct_lag2,0.013135925
Vol_20d_lag1,0.012983834
ROC_10,0.012975357
Return_10d,0.012884467
Skew_20d,0.012870497
MACD,0.012858707
CMF,0.01267053
ADX,0.012363949
SMA_200,0.012260945
MFI_14_lag5,0.012153255
Return_1d_lag5,0.012011005
Log_Return,0.011920286
ATR_14,0.011753653
BB_Pct_lag5,0.011744967
MACD_Signal,0.011700213
Vol_20d,0.0112363845
ATR_14_lag2,0.0105023235
SMA_20,0.010029268
