Feature,Importance
MACD_lag3,0.019385688
ATR_14_lag5,0.018245928
MACD_lag1,0.016816964
Stoch_D,0.016064538
Vol_20d,0.016012887
EMA_12,0.015925597
Skew_20d,0.015853725
ADX_lag1,0.015768768
RSI_14,0.015474834
BB_Width,0.01539736
Williams_R,0.015382455
CMF,0.015276172
BB_Pct_lag1,0.015159661
Return_5d,0.015130181
MACD_Signal,0.015066776
DI_Plus,0.014804714
MACD_lag5,0.014783173
EMA_26,0.014730978
ATR_14_lag1,0.014696498
BB_Pct_lag3,0.014673613
Return_10d,0.014638123
Price_SMA20_Ratio,0.014545014
Return_1d_lag5,0.014542103
MFI_14,0.0145343905
ADX_lag3,0.0145060215
ADX,0.0144970715
MACD,0.014446322
ATR_14_lag2,0.014433102
ROC_10,0.014257672
MFI_14_lag2,0.014184648
BB_Lower,0.014147315
Return_1d_lag1,0.014121453
RSI_14_lag3,0.014095574
Vol_20d_lag3,0.014042432
RSI_14_lag5,0.014009465
Return_1d_lag3,0.013971679
ADX_lag5,0.013966094
BB_Pct_lag5,0.013956897
Price_SMA50_Ratio,0.013950976
RSI_14_lag1,0.01392525
SMA_20,0.013899665
Return_1d,0.013825265
KC_Upper,0.013783746
ATR_14_lag3,0.013779777
High_Low_Range,0.013762669
Vol_20d_lag2,0.013689176
MFI_14_lag1,0.013551529
BB_Upper,0.013541155
ADX_lag2,0.013539658
OBV,0.013517391
BB_Pct_lag2,0.013471423
MACD_Hist,0.013468617
Return_20d,0.013438506
SMA_50,0.01341588
TSI,0.013363591
Return_1d_lag2,0.013362349
ATR_14,0.013163169
Vol_60d,0.012700363
MFI_14_lag5,0.01267936
Log_Return,0.012627532
Stoch_K,0.012417841
DI_Minus,0.012394413
MFI_14_lag3,0.012318138
Vol_20d_lag5,0.012274963
MACD_lag2,0.012083347
Close_Open_Range,0.012014526
RSI_14_lag2,0.011995489
SMA_200,0.011876682
Vol_20d_lag1,0.011714037
BB_Pct,0.0116995815
KC_Lower,0.011208001
