Ticker,Model,Accuracy,Precision,Recall,F1,ROC_AUC
RELIANCE.NS,LogisticRegression,0.5086600000000001,0.52342,0.5431199999999999,0.50046,0.49724
RELIANCE.NS,RandomForest,0.4929,0.41346,0.40032000000000006,0.39582,0.50798
RELIANCE.NS,XGBoost,0.51104,0.5388999999999999,0.40148,0.4232,0.5177799999999999
RELIANCE.NS,LightGBM,0.49922000000000005,0.50118,0.38502,0.38678,0.506
TCS.NS,LogisticRegression,0.53306,0.55852,0.5953799999999999,0.5426,0.51366
TCS.NS,RandomForest,0.5031399999999999,0.51622,0.47046,0.47028,0.51482
TCS.NS,XGBoost,0.51102,0.53344,0.42828,0.47158000000000005,0.5203
TCS.NS,LightGBM,0.51182,0.5226599999999999,0.4593,0.48478000000000004,0.5168799999999999
INFY.NS,LogisticRegression,0.51418,0.5384800000000001,0.5684,0.5248999999999999,0.51712
INFY.NS,RandomForest,0.49686,0.52568,0.6105600000000001,0.548,0.49707999999999997
INFY.NS,XGBoost,0.48266,0.51282,0.52102,0.5104599999999999,0.4847200000000001
INFY.NS,LightGBM,0.49922000000000005,0.5311199999999999,0.5177799999999999,0.5174200000000001,0.49584
HDFCBANK.NS,LogisticRegression,0.49134,0.50466,0.4729,0.47374,0.49248000000000003
HDFCBANK.NS,RandomForest,0.49372,0.5297799999999999,0.50114,0.48208,0.52254
HDFCBANK.NS,XGBoost,0.51656,0.53644,0.50408,0.50622,0.5199999999999999
HDFCBANK.NS,LightGBM,0.5031399999999999,0.53368,0.4627,0.48236,0.51296
ICICIBANK.NS,LogisticRegression,0.48423999999999995,0.56332,0.30766,0.34952,0.51208
ICICIBANK.NS,RandomForest,0.5039399999999999,0.5811,0.43174,0.43282,0.52366
ICICIBANK.NS,XGBoost,0.5016,0.5594600000000001,0.38272,0.41265999999999997,0.52144
ICICIBANK.NS,LightGBM,0.5023600000000001,0.55792,0.38642000000000004,0.43356000000000006,0.52962
